cell_line_name,stripped_cell_line_name,DepMap_ID
NA,IOMMLEE,ACH-000629
YD-8,YD8,ACH-000630
KS-1,KS1,ACH-000631
Hs 944.T,HS944T,ACH-000632
FU97,FU97,ACH-000633
LN-340,LN340,ACH-000634
SNU-119,SNU119,ACH-000635
RPMI-8402,RPMI8402,ACH-000636
KYSE-520,KYSE520,ACH-000637
NCI-H441,NCIH441,ACH-000638
NCI-H211,NCIH211,ACH-000639
SK-MEL-31,SKMEL31,ACH-000640
CMK,CMK,ACH-000641
HMEL,HMEL,ACH-000642
HDQ-P1,HDQP1,ACH-000643
COLO 829,COLO829,ACH-000644
JL-1,JL1,ACH-000645
OVMANA,OVMANA,ACH-000646
TE-1,TE1,ACH-000647
NCI-H28,NCIH28,ACH-000648
786-O,786O,ACH-000649
IGR-37,IGR37,ACH-000650
SW 620,SW620,ACH-000651
SUIT-2,SUIT2,ACH-000652
JJN-3,JJN3,ACH-000653
Raji,RAJI,ACH-000654
SF268,SF268,ACH-000655
SU-DHL-8,SUDHL8,ACH-000656
A2780,A2780,ACH-000657
KMS-18,KMS18,ACH-000658
SCLC-21H,SCLC21H,ACH-000659
SU-DHL-5,SUDHL5,ACH-000660
WM1799,WM1799,ACH-000661
COR-L23,CORL23,ACH-000662
OVTOKO,OVTOKO,ACH-000663
SU-DHL-1,SUDHL1,ACH-000664
SK-MES-1,SKMES1,ACH-000665
NCI-H1355,NCIH1355,ACH-000666
HCC-44,HCC44,ACH-000667
HCC70,HCC70,ACH-000668
SW 900,SW900,ACH-000669
SBC-5,SBC5,ACH-000670
HuH-6,HUH6,ACH-000671
IA-LM,IALM,ACH-000672
LN-443,LN443,ACH-000673
NUGC-4,NUGC4,ACH-000674
NCI-H1734,NCIH1734,ACH-000675
LN-464,LN464,ACH-000676
SW 1573,SW1573,ACH-000677
MKN7,MKN7,ACH-000678
OE-19,OE19,ACH-000679
SW948,SW948,ACH-000680
A549,A549,ACH-000681
SNU-1066,SNU1066,ACH-000682
SNU-503,SNU503,ACH-000683
KMRC-1,KMRC1,ACH-000684
L3.3,L33,ACH-000685
SNU-878,SNU878,ACH-000686
CI-1,CI1,ACH-000687
OV7,OV7,ACH-000688
RH-18,RH18,ACH-000689
HCC-2814,HCC2814,ACH-000690
HCC2157,HCC2157,ACH-000691
SNU-899,SNU899,ACH-000692
KYSE-180,KYSE180,ACH-000693
TE-9,TE9,ACH-000694
COR-L47,CORL47,ACH-000695
A3/KAW,A3KAW,ACH-000697
DMS 53,DMS53,ACH-000698
HCC1395,HCC1395,ACH-000699
NA,NCIH2882,ACH-000700
RMUG-S,RMUGS,ACH-000701
L-1236,L1236,ACH-000702
DMS 79,DMS79,ACH-000703
OAW42,OAW42,ACH-000704
LC-1F,LC1F,ACH-000705
P3HR-1,P3HR1,ACH-000707
SNU-283,SNU283,ACH-000708
KMRC-2,KMRC2,ACH-000709
NCI-H854,NCIH854,ACH-000710
JIMT-1,JIMT1,ACH-000711
HCC-1833,HCC1833,ACH-000712
Caov-3,CAOV3,ACH-000713
KMS-11,KMS11,ACH-000714
SNU-1214,SNU1214,ACH-000715
TT2609-C02,TT2609C02,ACH-000716
COLO-680N,COLO680N,ACH-000717
NCI-H2291,NCIH2291,ACH-000718
RMG-I,RMGI,ACH-000719
TCCSUP,TCCSUP,ACH-000720
HMC-1-8,HMC18,ACH-000721
SNU-C1,SNUC1,ACH-000722
YD-10B,YD10B,ACH-000723
HT-1376,HT1376,ACH-000724
HCC202,HCC202,ACH-000725
TE-14,TE14,ACH-000726
NCI-H2066,NCIH2066,ACH-000727
KASUMI-2,KASUMI2,ACH-000728
